Staff name,Twitter,Artwork,Alt
K',@k4bunz,K-01.jpg,Chibi Altare winking and dashing with a box labelled 'Apps open!' with paper flying out of it.
K',@k4bunz,K-02.jpg,Excited chibi Altare struggling to hold up a box labelled 'Apps open!' with many happy cultare slimes and two tall stacks of paper overflowing the box. His squatted legs are shaking and he is sweating.
K',@k4bunz,K-03.jpg,"Join us!' in bold text alongside chibi Altare falling flat on his face, cultare slimes and paper flying out of the cardboard box that fell out of his hands."
K',@k4bunz,K-04.jpg,Kudo board open!' in pink bubbly text above chibi Altare poking his tongue out and posing with a branded envelope with 3 cultare slimes. One has an envelope in its cat mouth.
Minjastars,@minjastars,minji-01.jpg,A cultare slime holding an Altare trading card.
Minjastars,@minjastars,minji-02.jpg,Two cultare slimes with birthday hats writing birthday messages to Altare. A table with a cake and birthday decorations are behind them.
Minjastars,@minjastars,minji-03.jpg,Birthday message board is open!' text alongside Altare smiling while holding a letter and a blue envelope. 4 smiling cultare slimes surround him.
Minjastars,@minjastars,minji-04.jpg,Kudoboard open!' text above a cultare slime waving a blue envelope and holding a blue present box.
Mowo,@ieka95,mowo-01.jpg,Come join us'! text above smiling chibi Altare's head with 3 cheering cultare slimes piled on him.
Mowo,@ieka95,mowo-02.jpg,"Application open!' text above beaming chibi Altare sitting criss cross on the floor showing off a card to the viewer. He is surrounded by a card binder, card tray, and both open and unopened card packs. Three cultare slimes are around him looking at his cards."
Mowo,@ieka95,mowo-03.jpg,"Application is open, join us now!' surrounds a cultare slime pointing a detailed human hand coming out of its round body at the viewer, and another hand presenting a shining rainbow card with Altare on it."
Mowo,@ieka95,mowo-04.jpg,"Card application closing today!' on two signs each held by a cultare slime with arms. Behind them, two cultare slimes are heaving a box of cards, while another slime on an elevated platform is beckoning to them with glowsticks."
Mowo,@ieka95,mowo-05.jpg,Kudoboard open!' text above chibi Altare with raised arms emphasizing a hovering envelope shining gold light.
Mowo,@ieka95,mowo-06.jpg,"Kudoboard open' text above a pile of cultare slimes on a red checkered floor with stationary scattered about. One is holding an envelope, another holds up a paintbrush, another with glasses studies a book, another holds a buntare figurine, and the frontmost one holds a pencil."
Mowo,@ieka95,mowo-07.jpg,"Kudoboard closes today!' alongside Altare with his hands held in front of him in surprise and delight, next to two boxes stuffed with envelopes labeled ""for leader"". Four cultare slimes surround the box and one is handing him a card that says 'happy birthday'."
newmoniks,@newmoniks,newmoniks-01.jpg,Applications are open' text below smiling Chibi Altare with his arms reaching out towards viewer.
Nui,@nuichuu,nui-01.jpg,Applications are open!' held by Chibi Altare smiling with rosy red cheeks and a cultare slime melting onto the sign's edge. Next to him is 'Check this!' text with an arrow pointing above the image.
Nui,@nuichuu,nui-02.jpg,Applications are open!' text above a cultare slime facing sideways with a sign stuck into it saying 'Help wanted'. An amorphous pile of cultare slimes are in the background.
Nui,@nuichuu,nui-03.jpg,Kudoboard opening! The kudoboard is open right now!' text above a cultare slime holding a pink card that says 'BDAY leader' with a rabbit icon.
Nui,@nuichuu,nui-04.jpg,Join! Apps open!' text on a sign smiling Altare is holding in front of him.
Nui,@nuichuu,nui-05.jpg,Kudoboard is open!' text above a cultare slime holding an envelope with a heart sticker sealing it. Altare faces towards this slime and away from the viewer.
Nui,@nuichuu,nui-06.jpg,Kudoboard is open' text next to a stack of 3 slimes precariously balancing to put an envelope with a heart sticker into a red mailbox labelled 'to leader'.
Tear,@soletear,tear-01.jpg,"Chibi bust of Altare smiling and making a heart shape with his hands, with a little red heart in between his hands."
Tear,@soletear,tear-02.jpg,"Sign in application' text behind chibi Altare holding a pixellated sword. The 'Sign in' text is in the style of a Pokemon type tag, and there is also a pixel style cultare slime in the background."
yukinayee,@_yukinayee,yukinayee-01.jpg,Join us!' written on a card held by a smiling Altare between two fingers.
yukinayee,@_yukinayee,yukinayee-02.jpg,"Join us!' text above a widely smiling chibi Altare seen from the waist up, holding a card in his hand. There are more cards flying in the air around him and collecting on the floor in a huge pile. Eight cultare slimes grin up at him from below."
yukinayee,@_yukinayee,yukinayee-03.jpg,"Join us now!' text alongside Altare on his knees, wearing sunglasses, head tiled up up as he clutches cards to his chest dramatically. More cards are being rained down on him from above by several stacked cultare slimes in a cloak wearing sunglasses. In the foreground is a shocked looking cultare slime holding a microphone and a surprised looking slime."
yukinayee,@_yukinayee,yukinayee-04.jpg,"Applications open!' text written above a smiling chibi bunny Altare, sitting and looking at several cards in his hand. There is a deck with more cards to the right. Three bunny cultare slimes happily surround him."
yukinayee,@_yukinayee,yukinayee-05.jpg,"Kudo board open!' text above chibi Altare emerging from a massive pile of envelopes up to his chest, sweating and looking frazzled. Another envelope drops down from where the text sits, falling towards the rest of the pile."
yukinayee,@_yukinayee,yukinayee-05b.jpg,"Birthday message board' text above and 'Open!' text below Altare displayed within an oval. Altare is smiling and holding his hands palms up, as a blue striped envelope is emphasised in front of him."
yukinayee,@_yukinayee,yukinayee-06.jpg,"Application open!' text above a grinning chibi Altare looking and raising his hand towards a card floating in the air, with shining beams coming out of it."
yukinayee,@_yukinayee,yukinayee-07.jpg,"Kudoboard open!' text in front of a shyly smiling Altare, with an envelope held up to his chin and looking downwards."
yukinayee,@_yukinayee,yukinayee-07b.jpg,"Kudoboard Open!' text above a smiling chibi Altare, reading from a letter previously folded to thirds. Behind him are 7 joyful cultare slimes, one holding an envelope towards him."
yukinayee,@_yukinayee,yukinayee-08.jpg,"Kudboard Open!' text above a smiling chibi Altare, holding an envelope in his hands as he smiles off to the side. Evelopes are falling in the air, forming a large pile around him. There are two blue gift boxes to either side of him."
